TIME,POINT1,POINT2,POINT3
24.880000,655.859213,655.859213,655.859213
24.900000,655.636161,655.636161,655.636161
24.920000,655.413239,655.413239,655.413239
24.940000,655.190453,655.190453,655.190453
24.960000,654.967808,654.967808,654.967808
24.980000,654.745310,654.745310,654.745310
25.000000,654.522965,654.522965,654.522965
25.020000,654.300777,654.300777,654.300777
25.040000,654.078752,654.078752,654.078752
25.060000,653.856895,653.856895,653.856895
25.080000,653.635211,653.635211,653.635211
25.100000,653.413704,653.413704,653.413704
25.120000,653.192380,653.192380,653.192380
25.140000,652.971243,652.971243,652.971243
25.160000,652.750297,652.750297,652.750297
25.180000,652.529548,652.529548,652.529548
25.200000,652.308998,652.308998,652.308998
25.220000,652.088652,652.088652,652.088652
25.240000,651.868515,651.868515,651.868515
25.260000,651.648591,651.648591,651.648591
25.280000,651.428882,651.428882,651.428882
25.300000,651.209394,651.209394,651.209394
25.320000,650.990129,650.990129,650.990129
25.340000,650.771091,650.771091,650.771091
25.360000,650.552285,650.552285,650.552285
25.380000,650.333712,650.333712,650.333712
25.400000,650.115377,650.115377,650.115377
25.420000,649.897283,649.897283,649.897283
25.440000,649.679433,649.679433,649.679433
25.460000,649.461830,649.461830,649.461830
25.480000,649.244477,649.244477,649.244477
25.500000,649.027377,649.027377,649.027377
25.520000,648.810533,648.810533,648.810533
25.540000,648.593947,648.593947,648.593947
25.560000,648.377623,648.377623,648.377623
25.580000,648.161563,648.161563,648.161563
25.600000,647.945770,647.945770,647.945770
25.620000,647.730245,647.730245,647.730245
25.640000,647.514992,647.514992,647.514992
25.660000,647.300013,647.300013,647.300013
25.680000,647.085310,647.085310,647.085310
25.700000,646.870885,646.870885,646.870885
25.720000,646.656741,646.656741,646.656741
25.740000,646.442880,646.442880,646.442880
25.760000,646.229303,646.229303,646.229303
25.780000,646.016012,646.016012,646.016012
25.800000,645.803011,645.803011,645.803011
25.820000,645.590300,645.590300,645.590300
25.840000,645.377881,645.377881,645.377881
25.860000,645.165756,645.165756,645.165756
25.880000,644.953927,644.953927,644.953927
25.900000,644.742396,644.742396,644.742396
25.920000,644.531163,644.531163,644.531163
25.940000,644.320231,644.320231,644.320231
25.960000,644.109601,644.109601,644.109601
25.980000,643.899275,643.899275,643.899275
26.000000,643.689254,643.689254,643.689254
26.020000,643.479539,643.479539,643.479539
26.040000,643.270132,643.270132,643.270132
