TIME,POINT1,POINT2,POINT3
7.460000,452.546895,452.358364,0.050000
7.480000,452.789135,452.600417,0.050000
7.500000,453.031363,452.842458,0.050000
7.520000,453.273576,453.084484,0.050000
7.540000,453.515770,453.326491,0.050000
7.560000,453.757942,453.568476,0.050000
7.580000,454.000089,453.810435,0.050000
7.600000,454.242206,454.052364,0.050000
7.620000,454.484290,454.294261,0.050000
7.640000,454.726338,454.536121,0.050000
7.660000,454.968346,454.777941,0.050000
7.680000,455.210312,455.019718,0.050000
7.700000,455.452230,455.261448,0.050000
7.720000,455.694099,455.503129,0.050000
7.740000,455.935915,455.744756,0.050000
7.760000,456.177674,455.986326,0.050000
7.780000,456.419373,456.227836,0.050000
7.800000,456.661009,456.469284,0.050000
7.820000,456.902579,456.710665,0.050000
7.840000,457.144080,456.951976,0.050000
7.860000,457.385508,457.193215,0.050000
7.880000,457.626860,457.434377,0.050000
7.900000,457.868134,457.675461,0.050000
7.920000,458.109325,457.916463,0.050000
7.940000,458.350431,458.157379,0.050000
7.960000,458.591449,458.398208,0.050000
7.980000,458.832377,458.638945,0.050000
8.000000,459.073210,458.879587,0.050000
8.020000,459.313946,459.120133,0.050000
8.040000,459.554581,459.360579,0.050000
8.060000,459.795114,459.600921,0.050000
8.080000,460.035542,459.841158,0.050000
8.100000,460.275860,460.081286,0.050000
8.120000,460.516067,460.321302,0.050000
8.140000,460.756160,460.561204,0.050000
8.160000,460.996135,460.800988,0.050000
8.180000,461.235991,461.040653,0.050000
8.200000,461.475723,461.280195,0.050000
8.220000,461.715331,461.519611,0.050000
8.240000,461.954810,461.758899,0.050000
8.260000,462.194159,461.998056,0.050000
8.280000,462.433374,462.237080,0.050000
8.300000,462.672453,462.475968,0.050000
8.320000,462.911394,462.714717,0.050000
8.340000,463.150193,462.953325,0.050000
8.360000,463.388849,463.191789,0.050000
8.380000,463.627358,463.430107,0.050000
8.400000,463.865719,463.668275,0.050000
8.420000,464.103928,463.906293,0.050000
8.440000,464.341983,464.144157,0.050000
8.460000,464.579883,464.381864,0.050000
8.480000,464.817624,464.619413,0.050000
8.500000,465.055203,464.856801,0.050000
8.520000,465.292620,465.094025,0.050000
8.540000,465.529871,465.331084,0.050000
8.560000,465.766953,465.567974,0.050000
8.580000,466.003866,465.804695,0.050000
8.600000,466.240606,466.041243,0.050000
8.620000,466.477171,466.277616,0.050000
8.640000,466.713559,466.513812,0.050000
8.660000,466.949768,466.749828,0.050000
8.680000,467.185796,466.985663,0.050000
8.700000,467.421640,467.221315,0.050000
8.720000,467.657298,467.456781,0.050000
8.740000,467.892769,467.692059,0.050000
8.760000,468.128050,467.927148,0.050000
8.780000,468.363138,468.162044,0.050000
8.800000,468.598033,468.396746,0.050000
8.820000,468.832732,468.631253,0.050000
8.840000,469.067233,468.865561,0.050000
8.860000,469.301534,469.099669,0.050000
8.880000,469.535633,469.333576,0.050000
8.900000,469.769528,469.567278,0.050000
8.920000,470.003217,469.800775,0.050000
8.940000,470.236699,470.034064,0.050000
8.960000,470.469971,470.267144,0.050000
8.980000,470.703032,470.500013,0.050000
9.000000,470.935880,470.732668,0.050000
9.020000,471.168513,470.965108,0.050000
9.040000,471.400929,471.197332,0.050000
9.060000,471.633127,471.429337,0.050000
9.080000,471.865104,471.661122,0.050000
9.100000,472.096860,471.892685,0.050000
9.120000,472.328392,472.124024,0.050000
9.140000,472.559698,472.355138,0.050000
9.160000,472.790778,472.586025,0.050000
9.180000,473.021629,472.816684,0.050000
9.200000,473.252250,473.047112,0.050000
9.220000,473.482639,473.277309,0.050000
9.240000,473.712794,473.507272,0.050000
9.260000,473.942715,473.737000,0.050000
9.280000,474.172399,473.966492,0.050000
9.300000,474.401845,474.195746,0.050000
9.320000,474.631051,474.424760,0.050000
9.340000,474.860017,474.653533,0.050000
9.360000,475.088740,474.882063,0.050000
9.380000,475.317219,475.110350,0.050000
9.400000,475.545452,475.338391,0.050000
9.420000,475.773439,475.566186,0.050000
9.440000,476.001177,475.793732,0.050000
9.460000,476.228666,476.021029,0.050000
9.480000,476.455904,476.248075,0.050000
9.500000,476.682889,476.474868,0.050000
